,community,size,total_spending,median_spending,mean_claims,median_hcpcs,median_servicing,anomaly_rate
971,971,1,23212801.62,23212801.62,153413.0,1.0,1.0,0.0
577,577,1,23148688.16,23148688.16,392202.0,2.0,0.0,0.0
2788,2788,1,23112582.79,23112582.79,85341.0,2.0,0.0,0.0
1353,1353,1,23085611.57,23085611.57,54125.0,2.0,0.0,0.0
684,684,1,23060612.759999998,23060612.759999998,316150.0,2.0,1.0,0.0
1946,1946,1,23054292.660000004,23054292.660000004,57630.0,1.0,1.0,0.0
2000,2000,1,23035940.41,23035940.41,157749.0,1.0,1.0,0.0
477,477,1,23022813.35,23022813.35,298733.0,2.0,1.0,0.0
2431,2431,1,23011041.58,23011041.58,473652.0,1.0,0.0,0.0
1383,1383,1,23009905.36,23009905.36,3088.0,1.0,1.0,0.0
1441,1441,1,22989699.14,22989699.14,476165.0,2.0,0.0,0.0
830,830,1,22977807.05,22977807.05,56425.0,1.0,0.0,0.0
67,67,1,22913116.54,22913116.54,292185.0,1.0,1.0,0.0
1659,1659,1,22884793.49,22884793.49,1379.0,2.0,1.0,1.0
136,136,1,22867243.82,22867243.82,29118.0,2.0,1.0,0.0
329,329,1,22860771.07,22860771.07,232806.0,1.0,1.0,0.0
1900,1900,1,22856383.78,22856383.78,115427.0,3.0,1.0,0.0
1215,1215,1,22823345.96,22823345.96,34484.0,2.0,1.0,0.0
617,617,1,22821627.75,22821627.75,396805.0,2.0,0.0,0.0
1799,1799,1,22798474.12,22798474.12,45798.0,2.0,1.0,0.0
94,94,1,22797505.35,22797505.35,195488.0,2.0,1.0,0.0
529,529,1,22758418.990000002,22758418.990000002,154846.0,2.0,1.0,0.0
1111,1111,1,22724835.6,22724835.6,51704.0,1.0,1.0,0.0
2671,2671,1,22700330.720000003,22700330.720000003,629133.0,2.0,4.0,0.0
478,478,1,22697506.639999997,22697506.639999997,16417.0,1.0,1.0,0.0
1075,1075,1,22678703.6,22678703.6,303174.0,2.0,1.0,0.0
890,890,1,22662120.610000003,22662120.610000003,291702.0,2.0,1.0,0.0
2320,2320,1,22654013.470000003,22654013.470000003,18079.0,2.0,12.0,1.0
1052,1052,1,22631135.69,22631135.69,130445.0,2.0,1.0,0.0
267,267,1,22613716.17,22613716.17,42825.0,2.0,1.0,0.0
1943,1943,1,22550520.509999998,22550520.509999998,1781.0,2.0,1.0,1.0
370,370,1,22519649.840000004,22519649.840000004,8914.0,1.0,1.0,0.0
1979,1979,1,22517201.16,22517201.16,4207.0,1.0,1.0,0.0
2468,2468,1,22517168.240000002,22517168.240000002,23119.0,1.0,1.0,0.0
469,469,1,22496634.259999998,22496634.259999998,181005.0,2.0,1.0,0.0
1408,1408,1,22496037.63,22496037.63,155323.0,2.0,1.0,0.0
528,528,1,22494401.790000003,22494401.790000003,288993.0,2.0,1.0,0.0
379,379,1,22470087.61,22470087.61,319346.0,2.0,2.0,0.0
2228,2228,1,22468989.13,22468989.13,153792.0,2.0,1.0,0.0
1669,1669,1,22459948.79,22459948.79,66402.0,2.0,1.0,0.0
505,505,1,22431961.95,22431961.95,140541.0,2.0,8.0,0.0
2549,2549,1,22408121.220000003,22408121.220000003,20115.0,1.0,2.0,1.0
1960,1960,1,22401372.230000004,22401372.230000004,307475.0,2.0,1.0,0.0
1783,1783,1,22396237.95,22396237.95,50836.0,2.0,1.0,0.0
1397,1397,1,22326797.88,22326797.88,51189.0,1.0,1.0,0.0
2472,2472,1,22325218.85,22325218.85,278185.0,1.0,1.0,0.0
2813,2813,1,22319575.040000003,22319575.040000003,211257.0,2.0,1.0,0.0
1558,1558,1,22318098.97,22318098.97,295412.0,2.0,1.0,0.0
763,763,1,22317120.97,22317120.97,45500.0,2.0,0.0,0.0
1328,1328,1,22315326.02,22315326.02,162096.0,1.0,1.0,0.0
2885,2885,1,22287475.14,22287475.14,235460.0,2.0,1.0,0.0
511,511,1,22287342.5,22287342.5,268176.0,1.0,1.0,0.0
1708,1708,1,22270471.11,22270471.11,104875.0,2.0,1.0,0.0
1689,1689,1,22269712.25,22269712.25,5566.0,1.0,1.0,0.0
884,884,1,22265754.72,22265754.72,42472.0,1.0,1.0,0.0
1033,1033,1,22247076.580000002,22247076.580000002,14461.0,2.0,1.0,0.0
1394,1394,1,22244195.230000004,22244195.230000004,62197.0,1.0,22.0,0.0
2711,2711,1,22242052.89,22242052.89,100494.0,2.0,1.0,0.0
1450,1450,1,22223443.970000003,22223443.970000003,56512.0,2.0,1.0,0.0
1507,1507,1,22223339.009999998,22223339.009999998,75629.0,2.0,13.0,0.0
599,599,1,22222031.93,22222031.93,89784.0,3.0,7.0,0.0
1365,1365,1,22207727.14,22207727.14,280276.0,2.0,1.0,0.0
1452,1452,1,22189109.97,22189109.97,240268.0,1.0,1.0,0.0
1035,1035,1,22188572.950000003,22188572.950000003,39656.0,1.0,5.0,0.0
256,256,1,22179518.240000002,22179518.240000002,394699.0,2.0,2.0,0.0
1447,1447,1,22175639.45,22175639.45,508429.0,1.0,1.0,0.0
1933,1933,1,22175572.139999997,22175572.139999997,2248.0,1.0,1.0,0.0
1192,1192,1,22160936.979999997,22160936.979999997,49911.0,2.0,1.0,0.0
1060,1060,1,22160639.450000003,22160639.450000003,5366.0,2.0,1.0,0.0
290,290,1,22157930.49,22157930.49,21628.0,2.0,1.0,0.0
1594,1594,1,22147734.82,22147734.82,61438.0,2.0,1.0,0.0
2192,2192,1,22142157.35,22142157.35,11263.0,1.0,1.0,0.0
2172,2172,1,22131557.58,22131557.58,49174.0,1.0,1.0,0.0
1753,1753,1,22110692.28,22110692.28,73551.0,1.0,1.0,0.0
1261,1261,1,22071275.779999997,22071275.779999997,5158.0,1.0,2.0,0.0
1776,1776,1,22040757.16,22040757.16,294577.0,2.0,1.0,0.0
2351,2351,1,22008786.73,22008786.73,239085.0,2.0,1.0,0.0
1722,1722,1,22006626.229999997,22006626.229999997,164981.0,1.0,1.0,0.0
354,354,1,22002491.099999998,22002491.099999998,57520.0,1.0,1.0,0.0
2617,2617,1,21999848.83,21999848.83,70537.0,2.0,1.0,0.0
2641,2641,1,21985829.320000004,21985829.320000004,52339.0,2.0,1.0,0.0
1542,1542,1,21975624.98,21975624.98,207471.0,2.0,1.0,0.0
949,949,1,21965285.1,21965285.1,175109.0,1.0,1.0,0.0
124,124,1,21959784.0,21959784.0,77076.0,2.0,1.0,0.0
491,491,1,21948053.34,21948053.34,456987.0,1.0,0.0,0.0
1860,1860,1,21932052.169999998,21932052.169999998,270301.0,1.0,1.0,0.0
535,535,1,21891246.08,21891246.08,12898.0,2.0,1.0,0.0
2205,2205,1,21877552.470000003,21877552.470000003,163916.0,1.0,1.0,0.0
2264,2264,1,21866355.51,21866355.51,46163.0,2.0,1.0,0.0
562,562,1,21853921.24,21853921.24,88106.0,2.0,1.0,0.0
1478,1478,1,21826809.18,21826809.18,44079.0,2.0,2.0,0.0
1477,1477,1,21789215.28,21789215.28,266460.0,1.0,1.0,0.0
1182,1182,1,21760984.009999998,21760984.009999998,354546.0,2.0,1.0,0.0
1557,1557,1,21751065.0,21751065.0,162210.0,1.0,1.0,0.0
2637,2637,1,21743430.75,21743430.75,53359.0,1.0,1.0,0.0
1133,1133,1,21734598.69,21734598.69,5737.0,2.0,3.0,0.0
1258,1258,1,21733712.669999998,21733712.669999998,78601.0,1.0,1.0,0.0
2626,2626,1,21722387.919999998,21722387.919999998,330530.0,2.0,4.0,0.0
105,105,1,21701867.580000002,21701867.580000002,163557.0,2.0,1.0,0.0
1117,1117,1,21686174.14,21686174.14,38675.0,1.0,1.0,0.0
431,431,1,21661881.389999997,21661881.389999997,104688.0,3.0,1.0,0.0
7,7,1,21647775.4,21647775.4,98797.0,2.0,1.0,0.0
645,645,1,21644547.110000003,21644547.110000003,13298.0,1.0,1.0,0.0
1364,1364,1,21635798.28,21635798.28,281314.0,2.0,1.0,0.0
1329,1329,1,21632282.85,21632282.85,240189.0,1.0,1.0,0.0
2268,2268,1,21620158.06,21620158.06,1874.0,1.0,1.0,0.0
1316,1316,1,21608585.9,21608585.9,243845.0,2.0,2.0,0.0
2103,2103,1,21607936.009999998,21607936.009999998,134167.0,2.0,1.0,0.0
155,155,1,21591483.29,21591483.29,285019.0,2.0,1.0,0.0
2026,2026,1,21571667.010000005,21571667.010000005,14978.0,1.0,1.0,0.0
2254,2254,1,21565456.55,21565456.55,73211.0,2.0,1.0,0.0
1104,1104,1,21546046.16,21546046.16,59006.0,1.0,1.0,0.0
1251,1251,1,21543376.64,21543376.64,54280.0,2.0,1.0,0.0
