,phenotype,hcpcs_code,enrichment_ratio,phenotype_share,overall_share
81,8,T5001,8.142278489997206,5.60857408620292e-07,6.888212056481558e-08
82,8,0373T,8.142278489997205,5.418610795322704e-05,6.654907225268052e-06
83,8,0550,8.142278489997205,1.2172702251891565e-06,1.4949994976032495e-07
84,8,1433Z,8.142278489997205,8.712887907831977e-07,1.0700798208432402e-07
85,8,15101,8.142278489997205,1.4373331419078222e-06,1.765271408578799e-07
86,8,31502,8.142278489997205,5.117805115297911e-08,6.285470487880191e-09
87,8,97172,8.142278489997205,1.2737458059023876e-07,1.5643604028862258e-08
88,8,99343,8.142278489997205,4.423482236796325e-07,5.432732670874101e-08
89,8,E0641,8.142278489997205,2.7315207603061604e-06,3.3547375758049e-07
90,9,00880,807.8426922539838,1.1327150636389264e-06,1.4021480598883767e-09
91,9,01270,807.8426922539838,1.584236565525935e-05,1.9610706152527213e-08
92,9,37184,807.8426922539838,4.079765440914669e-05,5.050197866532164e-08
93,9,00600,807.8426922539837,0.00027513561119921773,3.405806772003525e-07
94,9,01440,807.8426922539837,1.2442879444140943e-05,1.540260197121265e-08
95,9,01500,807.8426922539837,2.0118310160578952e-05,2.4903747169447447e-08
96,9,01941,807.8426922539837,5.742248503356609e-06,7.10812706287533e-09
97,9,0517F,807.8426922539837,3.9604796621313677e-07,4.902538204661017e-10
98,9,14302,807.8426922539837,2.84805464051278e-05,3.525506472759376e-08
99,9,39599,807.8426922539837,0.00015078756242873644,1.8665460970875406e-07
100,10,0109U,18.698430293268284,5.610893415755162e-07,3.0007296482930806e-08
101,10,92605,18.698430293268284,9.821720640480274e-08,5.252697946530967e-09
102,10,A6208,18.698430293268284,1.960515932330188e-07,1.0484922539385584e-08
103,10,D5741,18.698430293268284,1.106132240948162e-07,5.915642241618465e-09
104,10,D7320,18.698430293268284,1.5684428447006393e-06,8.388099001365384e-08
105,10,L5968,18.698430293268284,1.901199590909343e-06,1.0167696224178794e-07
106,10,Q4236,18.698430293268284,0.00036437552879149817,1.9486958160476114e-05
107,10,0724,18.69843029326828,3.9136388379479165e-06,2.0930306857666476e-07
108,10,15852,18.69843029326828,3.396616074168677e-07,1.81652471405127e-08
109,10,22612,18.69843029326828,1.3671455886208787e-06,7.311552719551394e-08
110,11,0093A,1295.027437263409,2.12564445033407e-06,1.6413895097279806e-09
111,11,3093F,1295.027437263409,1.3028773829813484e-10,1.006061605717426e-13
112,11,4145F,1295.027437263409,6.514386914906742e-11,5.03030802858713e-14
113,11,92071,1295.027437263409,8.266756995016655e-08,6.383460888277068e-11
114,11,M1174,1295.027437263409,3.257193457453371e-10,2.5151540142935653e-13
115,11,M1177,1295.027437263409,2.6057547659626967e-10,2.012123211434852e-13
116,11,M1178,1295.027437263409,3.257193457453371e-10,2.5151540142935653e-13
117,11,M1200,1295.027437263409,6.514386914906742e-11,5.03030802858713e-14
118,11,S9982,1295.027437263409,4.183610935009173e-05,3.230519149346969e-08
119,11,10121,1295.0274372634087,6.0149940140099904e-06,4.644684615115641e-09
120,12,64722,219.12730324160518,3.6572806897120725e-06,1.6690209917290095e-08
121,12,0311,219.12730324160515,3.019359439547944e-07,1.3779019751905867e-09
122,12,0312U,219.12730324160515,0.0002732155438828239,1.2468347843517347e-06
123,12,0343,219.12730324160515,4.176200025049392e-07,1.905832802790806e-09
124,12,2021F,219.12730324160515,4.409111331115572e-11,2.012123211434852e-13
125,12,3279F,219.12730324160515,3.8579724147261254e-08,1.7606078100054955e-10
126,12,7025F,219.12730324160515,1.9750063068815817e-06,9.013054410220991e-09
127,12,80204,219.12730324160515,4.4666502339866306e-07,2.038381419344077e-09
128,12,80506,219.12730324160515,1.0888741343323016e-05,4.9691394829595104e-08
129,12,82528,219.12730324160515,2.8460923870134295e-06,1.2988305632892255e-08
130,13,0100,23.706128087830116,0.0006064160861440195,2.5580562287408375e-05
131,13,0193,23.706128087830116,9.112839369384468e-05,3.844085940825856e-06
