,billing_npi,n_changepoints,nonzero_months,total_spending
1734,1861567794,4,82,80225820.49000001
1735,1558415968,1,84,80224961.37
1736,1831630532,2,84,80191295.08
1737,1568527810,2,84,80148599.05000001
1738,1225488166,3,83,80074654.92999999
1739,1093790974,1,84,79998878.75000001
1740,1033213186,2,84,79987720.62999998
1741,1669474979,1,84,79976324.24
1742,1932324449,3,84,79922553.39
1743,1790243434,2,61,79826325.63
1744,1477645414,2,84,79786464.8
1745,1376577247,1,84,79775113.9
1746,1356377576,2,84,79713089.36
1747,1811957681,1,84,79685069.23
1748,1457415184,3,84,79636635.08
1749,1235172370,3,83,79550788.33999999
1750,1407969728,1,84,79548795.22999999
1751,1861466732,1,84,79507006.94999999
1752,1770513145,2,84,79366222.21000001
1753,1215130497,1,84,79363636.44
1754,1821274382,1,84,79348219.92
1755,1285973636,3,67,79341660.88000001
1756,1629336706,1,84,79328994.24
1757,1467546135,3,84,79321806.13000003
1758,1063463768,2,82,79307884.6
1759,1730692344,2,81,79264446.53000002
1760,1326252693,2,84,79234837.69000001
1761,1023464294,1,84,79205805.52
1762,1871509489,2,84,79180307.16
1763,1881607497,2,83,79157046.10000001
1764,1639296817,2,83,79098813.60999998
1765,1184865776,1,84,79064417.19000001
1766,1154342814,2,78,79064218.55
1767,1134169535,1,83,79058580.04999998
1768,1386837367,2,84,79039952.47
1769,1568435477,1,84,78948381.55000001
1770,1033275755,3,84,78934568.42999999
1771,1427394865,2,38,78912334.74
1772,1770625477,2,84,78886612.17
1773,1518178193,3,82,78871431.33
1774,1811024367,4,82,78852348.60000001
1775,1144471715,1,84,78828236.19
1776,1073626511,2,84,78819497.83000001
1777,1225033020,2,84,78812890.83999999
1778,1245699461,2,84,78746803.04999998
1779,1144268848,2,83,78738350.67
1780,1588032585,1,84,78725238.66
1781,1639100027,3,84,78666353.28
1782,1205844719,1,84,78654945.80000001
1783,1033107743,2,83,78645918.13
1784,1790801819,2,84,78616009.49
1785,1720220098,1,84,78613247.36
1786,1689924896,4,72,78609959.41999999
1787,1831122241,2,78,78601076.07
1788,1154439438,3,83,78580808.02000001
1789,1174769822,3,83,78574407.36999999
1790,1821520958,2,81,78572647.21
1791,1316937121,1,84,78572041.21000001
1792,1770693939,1,84,78566060.63000001
1793,1184041519,2,84,78557600.77000001
1794,1326250572,2,84,78528732.86
1795,1336109107,1,84,78521363.42
1796,1033660543,2,84,78479394.98999998
1797,1871754473,2,83,78472809.95
1798,1649574013,2,84,78472159.56
1799,1205906948,2,83,78442629.11999999
1800,1194099390,2,84,78404511.79
1801,1356974646,3,55,78359974.99999999
1802,1114948288,2,84,78279217.53
1803,1417959701,1,84,78249563.06
1804,1134220031,2,84,78217624.69999999
1805,1982804290,1,84,78190170.28
1806,1346560380,2,84,78130699.57
1807,1366939225,3,66,78109401.33000001
1808,1598314437,2,60,78025107.44999999
1809,1841231461,2,84,77991599.22
1810,1730215781,1,83,77968189.25000001
1811,1023107281,2,83,77927263.75
1812,1477648731,1,84,77901509.81
1813,1336572692,2,53,77894099.02000001
1814,1285059923,2,84,77880198.61
1815,1073580163,3,83,77863933.22
1816,1275988321,2,84,77817351.7
1817,1205877172,1,84,77798914.94
1818,1598747651,3,84,77796150.73
1819,1619038247,1,84,77766419.55000001
1820,1982746772,5,79,77745401.95
1821,1952538951,2,84,77728142.72999999
1822,1881024172,1,84,77682550.07000001
1823,1366772402,2,63,77653998.1
1824,1124374822,2,84,77639954.38000001
1825,1396811618,1,84,77639262.62999998
1826,1003914466,2,84,77571158.96
1827,1720270291,1,84,77508405.67999998
1828,1427041581,2,84,77505367.17999998
1829,1588732747,2,84,77496561.82999998
1830,1700174901,2,84,77485026.32999998
1831,1366526782,1,84,77422863.36
1832,1265418669,1,84,77420989.15
1833,1548475742,2,84,77404785.81
1834,1053361642,2,84,77383251.78
1835,1386682094,1,84,77355449.77000001
1836,1801954474,1,84,77333445.88
1837,1245459460,2,83,77333210.83
1838,1144203498,2,84,77328930.99000001
1839,1730391368,2,83,77321475.36999999
1840,1912952367,1,84,77320441.32
1841,1669617197,2,84,77298939.8
1842,1568591725,2,83,77228315.83
1843,1285688556,2,84,77181734.41
1844,1770020018,2,84,77173366.56
1845,1902865835,3,84,77159110.03000002
1846,1093768723,1,84,77151849.95
1847,1851479711,2,44,77130339.7
1848,1689624686,3,84,76999886.56
1849,1467484972,2,84,76945655.37
1850,1548793722,2,84,76944172.44999999
1851,1447332036,2,84,76864364.51
1852,1770675605,2,51,76858886.05999999
1853,1841386067,2,84,76856243.29999998
1854,1770709149,2,84,76813650.64999999
1855,1649383084,4,84,76800908.13
1856,1336196401,1,84,76788620.09
1857,1124417357,3,62,76741589.08999999
1858,1518042175,1,84,76721782.79
1859,1154342335,4,81,76706976.88
1860,1184838104,3,84,76699198.61
1861,1427360700,4,84,76695704.91999999
1862,1730431933,3,84,76689613.75
1863,1689778623,1,84,76641055.54
1864,1366807760,2,84,76571348.01000002
1865,1467507293,3,84,76560650.26
1866,1720281264,3,83,76545939.66
1867,1427101351,2,78,76538291.35999998
1868,1740307636,2,83,76497261.82999998
1869,1396813861,1,84,76485197.42000002
1870,1467504530,3,84,76433885.52000001
1871,1356307581,1,84,76397399.38000001
1872,1467976142,2,80,76310589.38999999
1873,1487083267,1,84,76306485.13000001
1874,1376600965,3,84,76303975.28
1875,1861414781,3,83,76285311.24
1876,1568461572,2,84,76229207.89999999
1877,1346411857,2,84,76222690.64
1878,1699129601,3,83,76214048.88999999
1879,1003359977,2,83,76196378.40000002
1880,1235136060,2,84,76193381.21000002
1881,1689048340,1,84,76184945.13
1882,1487747135,1,84,76155943.34
1883,1689653487,1,84,76131513.25999999
1884,1376931295,1,84,76097508.79
1885,1952414005,2,55,76096649.3
1886,1528174349,2,84,75988498.12999998
1887,1396151791,2,72,75987166.94999999
1888,1669829586,5,68,75967537.25000001
1889,1689887721,1,84,75940204.26
1890,1477608271,1,84,75917122.61999999
1891,1639172869,2,84,75787502.92
1892,1952518078,3,50,75785040.88
1893,1811958952,3,84,75781612.71000001
1894,1417919531,2,84,75773494.19000001
1895,1831463538,1,33,75756186.27999999
1896,1407159817,1,84,75717714.27000001
1897,1710945969,2,84,75712662.58000001
1898,1538203211,4,81,75694917.66000001
1899,1417990581,1,84,75678598.17
1900,1437137734,1,84,75658038.73
1901,1649481102,1,84,75655618.47999999
1902,1003985755,2,84,75655410.77999999
1903,1184917924,2,84,75644437.48
1904,1114958584,2,84,75615409.57
1905,1760977649,3,52,75611412.94
