,cluster,count,total_paid_median,total_paid_mean,total_paid_std,total_claims_median,total_claims_mean,total_claims_std,paid_per_claim_median,paid_per_claim_mean,paid_per_claim_std,paid_per_beneficiary_median,paid_per_beneficiary_mean,paid_per_beneficiary_std,n_unique_hcpcs_median,n_unique_hcpcs_mean,n_unique_hcpcs_std,n_servicing_npis_median,n_servicing_npis_mean,n_servicing_npis_std,n_years_active_median,n_years_active_mean,n_years_active_std,n_months_active_median,n_months_active_mean,n_months_active_std
263,262,455,5011.08,43106.479626373635,386454.20466455264,227.0,1045.9164835164836,6351.383191616932,24.937950819672125,26.26135327899413,24.568309165788357,25.792307692307695,39.95696838442577,249.09910510417475,3.0,3.778021978021978,1.9580288905120327,1.0,1.3032967032967033,4.02310098440445,2.0,2.681318681318681,1.790079864823798,7.0,10.393406593406594,12.69470216425591
264,263,331,55696.75,293193.52900302113,1063363.4437406894,3198.0,8923.060422960725,18095.505729892724,22.31211903294295,27.105095570727077,33.11259404444049,73.47567567567567,150.92630695208993,526.8997912804239,4.0,5.256797583081571,3.9585627195179947,1.0,2.5861027190332324,4.436179106867144,4.0,3.8731117824773413,1.894706097672602,22.0,27.244712990936556,21.60255163434048
265,264,169,2070.6,14051.486094674556,42076.36186987465,32.0,170.58579881656806,439.2252446199006,73.72405405405405,71.52636499490802,44.78889098039074,78.148,74.02800020455273,50.90385125246908,1.0,1.3609467455621302,0.7195494974565263,1.0,1.2781065088757397,1.8321354215434182,1.0,1.727810650887574,1.2758733935287054,2.0,6.017751479289941,10.14095502029193
266,265,300,34283.345,98993.40156666667,281233.5225806432,549.5,1383.7566666666667,2160.7071192024464,58.394655149925306,63.392066905466464,38.471330301111834,61.84368787139809,66.68060599752377,39.23435353760927,3.0,2.776666666666667,0.8260731677544274,1.0,2.7533333333333334,6.368228692330005,3.0,3.19,1.9681154084223758,15.5,22.326666666666668,21.09193022519046
267,266,390,2321.76,55489.21946153846,312783.92658603884,84.0,896.3256410256411,4364.194532421937,28.661750452898552,51.576482044072485,218.06032237463072,30.28747460087083,73.21737894859663,327.55063812964994,1.0,2.2846153846153845,3.139190737948699,1.0,1.2,0.9299362833025592,2.0,2.7102564102564104,1.9388193571443006,4.0,14.27948717948718,20.995441780820247
268,267,103,63124.90000000001,1804380.989223301,5234051.537288742,1079.0,24107.631067961163,70844.01921952395,63.276756756756754,94.92150699595429,150.57769121758236,107.25764881258353,301.4748820460036,528.1969243195787,2.0,5.932038834951456,10.256764516718624,1.0,1.5728155339805825,1.9980477812672361,3.0,3.883495145631068,2.369334194860866,18.0,32.398058252427184,30.932038028309872
269,268,1085,0.0,236534.1298986175,1304273.7818936887,123.0,7069.659907834101,63581.68629772764,0.0,33.40258710475288,309.72743395992757,0.0,79.7533330886018,403.609277795523,2.0,4.177880184331797,9.028382323769662,1.0,1.344700460829493,3.829517570472206,1.0,2.1271889400921657,1.7486019524378194,3.0,11.6073732718894,19.538370353343552
270,269,134,41577.375,66057.90895522389,73243.2035625329,1744.5,2607.223880597015,2645.0230683696095,25.525551874094013,24.449834360420454,6.845381908894595,45.44446142829834,47.16732120946597,16.870527663868067,2.0,2.1343283582089554,0.4210806858569938,1.0,1.3208955223880596,0.9702394578369354,6.0,5.246268656716418,1.8493509008158937,41.5,43.88805970149254,28.295609385426737
271,270,438,1275.9,5562.823036529681,10952.049469541149,56.0,241.33333333333334,543.6539132773846,33.40509455128205,35.72773278995326,28.370582662724885,36.0793121968122,39.97126662415727,32.64849581782926,1.0,1.3789954337899544,1.5902209437259602,1.0,1.0547945205479452,0.3405639807120925,1.0,1.9840182648401827,1.553683250436282,3.0,8.657534246575343,13.79024214238117
272,271,369,1147.47,4531.268130081301,10778.378082445286,50.0,192.5230352303523,541.6821375961754,31.97,37.29544288057793,40.84581338801433,34.74769230769231,42.73164082321721,49.751533326457476,1.0,1.3252032520325203,1.152709013580358,1.0,1.075880758807588,0.42309463799417657,1.0,1.924119241192412,1.4179318784165367,3.0,6.753387533875339,10.844824234546811
273,272,150,7838.924999999999,232191.7284,1211587.2964896997,148.5,1741.6666666666667,7090.4654201766125,65.15881973259567,72.35374158955557,52.269164928383674,70.37816090207993,110.96055443927015,298.86579911852886,2.0,2.48,1.927268122526645,1.0,1.6466666666666667,3.974983291791597,2.0,2.7266666666666666,1.8387939827403086,7.0,15.526666666666667,19.958580152411233
