,billing_npi,changepoint_month,changepoint_idx,type,direction,mean_before,mean_after,pct_change,std_before,std_after,is_covid_period
7444,1700819331,2023-09,68,variance_shift,decrease,667197.0933333333,417764.9116666667,-0.3738508218315571,32103.577708529567,162766.61451649174,False
7445,1700819331,2024-07,78,mean_shift,decrease,486667.11166666663,0.0,-0.9999999999979452,33521.751377352855,1e-06,False
7446,1942749387,2018-06,5,mean_shift,increase,81333.056,654926.3316666667,7.052400387606416,9195.404332524742,47520.08650060997,False
7447,1700156866,2023-10,69,trend_break,increase,501429.1683333333,705799.695,0.40757606372511707,32755.764938468837,40942.03369598589,False
7448,1700156866,2024-10,81,variance_shift,decrease,822837.25,576522.4800000001,-0.2993481031634148,34014.9144803153,361556.7301335327,False
7449,1508882259,2018-06,5,variance_shift,increase,505665.31200000003,578530.49,0.14409763982358326,46315.15807237501,9633.222779954429,False
7450,1508882259,2021-02,37,variance_shift,decrease,558106.2983333333,511518.69,-0.08347443573450779,6980.900979802619,12214.48415990878,True
7451,1508882259,2022-07,54,trend_break,increase,463978.5733333333,553509.4033333333,0.1929632856892423,14019.700481774258,15595.074127818263,False
7452,1740557735,2019-01,12,mean_shift,increase,0.0,60322.5,60322500000.0,1e-06,4206.650241987478,False
7453,1740557735,2019-10,21,mean_shift,increase,69775.83333333333,579380.8333333334,7.3034598893030775,14276.004173697938,30267.7993671948,False
7454,1306914213,2020-03,26,trend_break,decrease,559080.4866666667,423920.76833333337,-0.24175359640780325,72942.1707701414,82587.10134510585,True
7455,1306914213,2022-09,56,trend_break,increase,483934.5116666667,657276.8450000001,0.35819378274135794,27470.98803717943,22865.276716874057,False
7456,1306914213,2024-07,78,variance_shift,decrease,643572.4,479010.44500000007,-0.25570076497958,26677.446150123775,101484.84512703097,False
7457,1841550696,2020-04,27,trend_break,decrease,691797.9249999999,445201.895,-0.3564567355411531,40103.596042851284,30703.897492393913,True
7458,1841550696,2024-10,81,mean_shift,decrease,359025.02,174086.67333333334,-0.5151126979009751,26645.631108630012,133075.69657690483,False
7459,1538192240,2019-01,12,mean_shift,increase,0.0,252275.65666666665,252275656666.66666,1e-06,30047.32687819197,False
7460,1538192240,2019-09,20,mean_shift,increase,284774.0366666667,546410.7383333333,0.9187519505930187,42596.79882535169,53788.13470053246,False
7461,1538192240,2023-03,62,trend_break,increase,658976.2116666667,794509.0416666666,0.20567180969553958,52066.50891346996,56334.07355775025,False
7462,1538192240,2024-10,81,variance_shift,decrease,989231.8333333334,638958.0,-0.3540866979105295,48495.16167175043,452541.83596610354,False
7463,1275911398,2018-04,3,mean_shift,increase,0.0,278945.36333333334,278945363333.3334,1e-06,291043.06622566894,False
7464,1275911398,2018-07,6,mean_shift,increase,1757.8333333333333,680604.7399999999,386.18388524536795,2506.6285745137457,158147.02529935734,False
7465,1275911398,2022-07,54,mean_shift,decrease,996173.7083333334,8995.583333333332,-0.9909698647343599,135012.11976505842,5372.472015739171,False
7466,1275911398,2022-12,59,mean_shift,decrease,148506.0833333333,0.0,-0.9999999999932662,307952.6016291551,1e-06,False
7467,1275911398,2023-10,69,mean_shift,increase,0.0,182535.26833333334,182535268333.33334,1e-06,402605.3464692542,False
7468,1275911398,2024-03,74,mean_shift,decrease,182535.26833333334,0.0,-0.9999999999945216,402605.3464692542,1e-06,False
7469,1386874550,2021-08,43,mean_shift,increase,291373.32666666666,631198.7216666666,1.1662886197802056,52692.26359739577,109725.43636605033,True
7470,1386874550,2024-10,81,variance_shift,decrease,718149.105,431246.05000000005,-0.3995034638379177,65181.13895520149,307054.12587605073,False
7471,1306057385,2020-08,31,trend_break,increase,452283.28,623884.705,0.3794113835019957,49004.343799816095,61278.476852961845,True
7472,1306057385,2023-07,66,variance_shift,decrease,697658.125,412341.93333333335,-0.40896275903940443,94960.01286756713,46774.25509406755,False
7473,1306057385,2024-10,81,variance_shift,decrease,384525.185,200190.14,-0.47938354154753376,177235.4570759347,283111.61104236863,False
